run number,f,use-seed,radius,seed,q,world-size,step,number_of_cultures
77,5,TRUE,1,15343,10,40,10108,2
109,5,TRUE,1,12269,10,30,6627,1
133,5,TRUE,1,18398,10,4,30,4
134,5,TRUE,1,18398,10,6,277,2
135,5,TRUE,1,18398,10,8,305,2
136,5,TRUE,1,18398,10,10,488,3
130,5,TRUE,1,56825,10,20,1950,2
137,5,TRUE,1,18398,10,12,566,3
138,5,TRUE,1,18398,10,14,1214,3
139,5,TRUE,1,18398,10,16,1004,2
140,5,TRUE,1,18398,10,18,2494,1
141,5,TRUE,1,18398,10,20,2302,1
88,5,TRUE,1,9467,10,40,9246,1
144,5,TRUE,1,59043,10,4,63,3
145,5,TRUE,1,59043,10,6,135,14
146,5,TRUE,1,59043,10,8,434,4
147,5,TRUE,1,59043,10,10,495,3
148,5,TRUE,1,59043,10,12,883,1
120,5,TRUE,1,-1494,10,30,4283,2
149,5,TRUE,1,59043,10,14,1290,5
150,5,TRUE,1,59043,10,16,1087,8
151,5,TRUE,1,59043,10,18,1735,1
152,5,TRUE,1,59043,10,20,2239,2
142,5,TRUE,1,18398,10,30,3646,1
155,5,TRUE,1,91440,10,4,84,5
156,5,TRUE,1,91440,10,6,259,2
157,5,TRUE,1,91440,10,8,276,4
158,5,TRUE,1,91440,10,10,822,6
159,5,TRUE,1,91440,10,12,424,7
160,5,TRUE,1,91440,10,14,749,9
161,5,TRUE,1,91440,10,16,1484,3
131,5,TRUE,1,56825,10,30,6486,1
163,5,TRUE,1,91440,10,20,2066,1
162,5,TRUE,1,91440,10,18,3352,1
153,5,TRUE,1,59043,10,30,10937,1
166,5,TRUE,1,79785,10,4,85,5
167,5,TRUE,1,79785,10,6,150,1
168,5,TRUE,1,79785,10,8,257,3
169,5,TRUE,1,79785,10,10,571,3
170,5,TRUE,1,79785,10,12,1037,3
171,5,TRUE,1,79785,10,14,1076,4
172,5,TRUE,1,79785,10,16,1328,3
173,5,TRUE,1,79785,10,18,2001,1
174,5,TRUE,1,79785,10,20,2355,4
110,5,TRUE,1,12269,10,40,10645,2
164,5,TRUE,1,91440,10,30,10968,1
177,5,TRUE,1,94859,10,4,91,1
178,5,TRUE,1,94859,10,6,223,4
179,5,TRUE,1,94859,10,8,456,2
180,5,TRUE,1,94859,10,10,605,3
181,5,TRUE,1,94859,10,12,1142,3
182,5,TRUE,1,94859,10,14,864,4
183,5,TRUE,1,94859,10,16,2404,2
175,5,TRUE,1,79785,10,30,4381,1
184,5,TRUE,1,94859,10,18,1539,2
185,5,TRUE,1,94859,10,20,3077,2
121,5,TRUE,1,-1494,10,40,9856,1
188,5,TRUE,1,7040,10,4,55,5
189,5,TRUE,1,7040,10,6,267,2
190,5,TRUE,1,7040,10,8,590,5
191,5,TRUE,1,7040,10,10,683,7
192,5,TRUE,1,7040,10,12,811,8
193,5,TRUE,1,7040,10,14,1050,2
194,5,TRUE,1,7040,10,16,1614,3
143,5,TRUE,1,18398,10,40,10716,1
195,5,TRUE,1,7040,10,18,1768,2
196,5,TRUE,1,7040,10,20,2363,1
132,5,TRUE,1,56825,10,40,12252,1
199,5,TRUE,1,24968,10,4,62,3
200,5,TRUE,1,24968,10,6,283,5
201,5,TRUE,1,24968,10,8,284,9
202,5,TRUE,1,24968,10,10,1046,4
203,5,TRUE,1,24968,10,12,769,1
204,5,TRUE,1,24968,10,14,1146,3
186,5,TRUE,1,94859,10,30,4098,1
205,5,TRUE,1,24968,10,16,1288,1
154,5,TRUE,1,59043,10,40,11708,1
206,5,TRUE,1,24968,10,18,2722,2
207,5,TRUE,1,24968,10,20,2602,1
210,5,TRUE,1,86943,10,4,84,3
211,5,TRUE,1,86943,10,6,236,6
212,5,TRUE,1,86943,10,8,423,4
213,5,TRUE,1,86943,10,10,646,4
214,5,TRUE,1,86943,10,12,1171,3
215,5,TRUE,1,86943,10,14,2003,1
216,5,TRUE,1,86943,10,16,1843,3
165,5,TRUE,1,91440,10,40,9297,1
217,5,TRUE,1,86943,10,18,2542,4
218,5,TRUE,1,86943,10,20,2391,2
99,5,TRUE,1,53819,10,40,18434,1
208,5,TRUE,1,24968,10,30,6124,2
197,5,TRUE,1,7040,10,30,8580,2
219,5,TRUE,1,86943,10,30,6519,1
176,5,TRUE,1,79785,10,40,9880,1
187,5,TRUE,1,94859,10,40,11272,3
220,5,TRUE,1,86943,10,40,9911,2
198,5,TRUE,1,7040,10,40,15292,1
209,5,TRUE,1,24968,10,40,16189,1
